Method,Path,Handler,Summary,Tags,Module
GET,"/","getHello","","app.controller.ts","app.controller.ts"
GET,"/affiliate/commissions","ApiOperation","","Affiliate / Commissions","commission"
POST,"/affiliate/commissions","UseGuards","Get user commissions","Affiliate / Commissions","commission"
GET,"/affiliate/me","ApiOkResponse","","Affiliate","affiliate"
GET,"/affiliate/referrals","ApiOkResponse","","Affiliate","referral"
GET,"/affiliate/referrals/earnings","getEarningsSummary","","Affiliate","referral"
POST,"/affiliate/request","ApiOperation","Get current user affiliate info","Affiliate","affiliate"
POST,"/ai-generator/generate","UseGuards","","AI Generator","ai-generator"
GET,"/ai-provider-config","findAll","","AI Provider Config","aiprovider-config"
POST,"/ai-provider-config","create","","AI Provider Config","aiprovider-config"
DELETE,"/ai-provider-config/:id","remove","","AI Provider Config","aiprovider-config"
GET,"/ai-provider-config/:id","findOne","","AI Provider Config","aiprovider-config"
PATCH,"/ai-provider-config/:id","update","","AI Provider Config","aiprovider-config"
GET,"/ai-provider-config/active","getActiveProvider","","AI Provider Config","aiprovider-config"
GET,"/analytics/dashboard/:companyId","ApiOperation","","analytics","analytics"
GET,"/analytics/marketing/:companyId","ApiOperation","Get company dashboard analytics","analytics","analytics"
GET,"/analytics/project/:projectId","ApiOperation","Get company dashboard analytics","analytics","analytics"
GET,"/analytics/user","ApiOperation","Get company dashboard analytics","analytics","analytics"
GET,"/auth/csrf-token","getCsrfToken","Register a new company with owner","auth","auth"
POST,"/auth/login","login","Register a new company with owner","auth","auth"
POST,"/auth/logout","logout","Register a new company with owner","auth","auth"
GET,"/auth/me","UseGuards","Register a new company with owner","auth","auth"
POST,"/auth/register","register","","auth","auth"
POST,"/auth/register-company","HttpCode","","auth","auth"
POST,"/auth/register-from-invitation","ApiOperation","Register a new company with owner","auth","auth"
GET,"/awards","ApiOperation","Create a new award","Awards","award"
POST,"/awards","ApiOperation","","Awards","award"
DELETE,"/awards/:id","ApiOperation","Create a new award","Awards","award"
GET,"/awards/:id","ApiOperation","Create a new award","Awards","award"
PATCH,"/awards/:id","ApiOperation","Create a new award","Awards","award"
GET,"/awards/points","getUserPoints","Create a new award","Awards","award"
GET,"/awards/points/history","getUserPointHistory","Create a new award","Awards","award"
POST,"/awards/rewards/redeem","redeemAward","Create a new award","Awards","award"
GET,"/awards/rewards/redemptions","getUserRedemptions","Create a new award","Awards","award"
GET,"/campaign-performance","ApiOperation","Create performance metric","Campaign Performance","campaign-performance"
POST,"/campaign-performance","ApiOperation","","Campaign Performance","campaign-performance"
DELETE,"/campaign-performance/:id","ApiOperation","Create performance metric","Campaign Performance","campaign-performance"
GET,"/campaign-performance/:id","ApiOperation","Create performance metric","Campaign Performance","campaign-performance"
PATCH,"/campaign-performance/:id","ApiOperation","Create performance metric","Campaign Performance","campaign-performance"
GET,"/campaign-posts","ApiOperation","Create a campaign post","Campaign Posts","campaign-post"
POST,"/campaign-posts","ApiOperation","","Campaign Posts","campaign-post"
DELETE,"/campaign-posts/:id","ApiOperation","Create a campaign post","Campaign Posts","campaign-post"
GET,"/campaign-posts/:id","ApiOperation","Create a campaign post","Campaign Posts","campaign-post"
PATCH,"/campaign-posts/:id","ApiOperation","Create a campaign post","Campaign Posts","campaign-post"
GET,"/categories","ApiOperation","Create new category","Categories","categories"
POST,"/categories","ApiOperation","","Categories","categories"
DELETE,"/categories/:id","ApiOperation","Create new category","Categories","categories"
GET,"/categories/:id","ApiOperation","Create new category","Categories","categories"
PATCH,"/categories/:id","ApiOperation","Create new category","Categories","categories"
POST,"/client-notes","ApiOperation","","Client Notes","client-note"
DELETE,"/client-notes/:id","ApiOperation","إضافة ملاحظة جديدة لعميل","Client Notes","client-note"
GET,"/client-notes/:id","ApiOperation","إضافة ملاحظة جديدة لعميل","Client Notes","client-note"
PATCH,"/client-notes/:id","ApiOperation","إضافة ملاحظة جديدة لعميل","Client Notes","client-note"
