Method,Path,Handler,Summary,Tags,Module,File
GET,/,getHello,"",app.controller.ts,app.controller.ts,app.controller.ts
GET,/affiliate/commissions,ApiOperation,"",Affiliate / Commissions,commission,commission/commission.controller.ts
POST,/affiliate/commissions,UseGuards,"Get user commissions",Affiliate / Commissions,commission,commission/commission.controller.ts
GET,/affiliate/me,ApiOkResponse,"",Affiliate,affiliate,affiliate/affiliate.controller.ts
GET,/affiliate/referrals,ApiOkResponse,"",Affiliate,referral,referral/referral.controller.ts
GET,/affiliate/referrals/earnings,getEarningsSummary,"",Affiliate,referral,referral/referral.controller.ts
POST,/affiliate/request,ApiOperation,"Get current user affiliate info",Affiliate,affiliate,affiliate/affiliate.controller.ts
POST,/ai-generator/generate,UseGuards,"",AI Generator,ai-generator,ai-generator/ai-generator.controller.ts
GET,/ai-provider-config,findAll,"",AI Provider Config,aiprovider-config,aiprovider-config/aiprovider-config.controller.ts
POST,/ai-provider-config,create,"",AI Provider Config,aiprovider-config,aiprovider-config/aiprovider-config.controller.ts
DELETE,/ai-provider-config/:id,remove,"",AI Provider Config,aiprovider-config,aiprovider-config/aiprovider-config.controller.ts
GET,/ai-provider-config/:id,findOne,"",AI Provider Config,aiprovider-config,aiprovider-config/aiprovider-config.controller.ts
PATCH,/ai-provider-config/:id,update,"",AI Provider Config,aiprovider-config,aiprovider-config/aiprovider-config.controller.ts
GET,/ai-provider-config/active,getActiveProvider,"",AI Provider Config,aiprovider-config,aiprovider-config/aiprovider-config.controller.ts
GET,/analytics/dashboard/:companyId,ApiOperation,"",analytics,analytics,analytics/analytics.controller.ts
GET,/analytics/marketing/:companyId,ApiOperation,"Get company dashboard analytics",analytics,analytics,analytics/analytics.controller.ts
GET,/analytics/project/:projectId,ApiOperation,"Get company dashboard analytics",analytics,analytics,analytics/analytics.controller.ts
GET,/analytics/user,ApiOperation,"Get company dashboard analytics",analytics,analytics,analytics/analytics.controller.ts
GET,/auth/csrf-token,getCsrfToken,"Register a new company with owner",auth,auth,auth/auth.controller.ts
POST,/auth/login,login,"Register a new company with owner",auth,auth,auth/auth.controller.ts
